"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Reporting starts","Reporting ends"
,,,,,,740110,944301,1.27589277,,mixed,,603108,,,,1.04155871,1.12573509,31.25235776,638.68194569,3000.53731343,201,19298,35.53337654,1030.95384615,196.83681462,17855,33.77810137,92.5225412,16973,2.29330775,2025-11-01,2025-11-30
Sales,"Account Engagers - Broad","Poster [Redirect link]",2025-11-30,not_delivering,ad,9668,10943,1.13187836,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",9,10370,1152.22222222,2025-11-29,2026-01-13,2.84810127,2.96052632,32.8164557,947.6377593,1152.22222222,9,316,36.64310954,450.86956522,518.5,304,34.11184211,96.20253165,283,2.92718246,2025-11-30,2025-11-30
"ABOS Traffic","Johnny Depp Interest Group","Black and white photo",2025-11-30,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,,,,,0,0,,,0,,,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","JD Gpainting with graphics",2025-11-30,not_delivering,ad,1043,1132,1.08533078,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,1430,1430,2025-11-29,2026-01-13,3.7037037,3.7037037,52.96296296,1263.25088339,1430,1,27,57.2,715,476.66666667,27,52.96296296,100,25,2.39693193,2025-11-30,2025-11-30
Sales,"Web Audience Retarg","JD Graffiti Paint - Copy",2025-11-30,not_delivering,ad,11,11,1,"7-day click, 1-day view, or 1-day engaged-view",,,18,,2025-11-27,2026-01-13,0,0,,1636.36363636,,,,,,,,,0,,,2025-11-30,2025-11-30
"ABOS Traffic","Johnny Depp Interest Group","JD Konnichiwa Video - Copy",2025-11-30,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,,,,,0,,,,0,,,2025-11-30,2025-11-30
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-30,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-27,0,0,,,,,,,0,0,,,0,,,2025-11-30,2025-11-30
"ABOS Traffic","Johnny Depp Interest Group","JD announcement date post",2025-11-30,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,0,2,,,0,0,,,0,,,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","JD Konnichiwa Video",2025-11-30,inactive,ad,21156,22917,1.0832388,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",6,23963,3993.83333333,2025-11-29,2026-01-13,0.66006601,0.67491564,26.36193619,1045.64297247,3993.83333333,6,909,28.42586002,921.65384615,1331.27777778,889,26.95500562,97.79977998,843,3.9846852,2025-11-30,2025-11-30
Sales,"Tokyo + Adjacent Broad","Poster [Redirect link] + related Media",2025-11-30,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",3,0,0,2025-11-26,2025-11-28,0,0,,,0,3,,,0,0,,,0,,,2025-11-30,2025-11-30
Sales,"Tokyo + Adjacent Broad","Flexible 3 Groups",2025-11-30,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",3,0,0,2025-11-26,2025-11-28,0,0,,,0,3,,,0,0,,,0,,,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","Black and white photo",2025-11-30,not_delivering,ad,2058,2268,1.10204082,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,2829,1414.5,2025-11-29,2026-01-13,2.73972603,2.81690141,38.75342466,1247.35449735,1414.5,2,73,41,707.25,707.25,71,39.84507042,97.26027397,69,3.35276968,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","Poster [Redirect link] + related Media",2025-11-30,inactive,ad,4831,5283,1.09356241,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",3,6433,2144.33333333,2025-11-29,2026-01-13,1.53061224,1.53846154,32.82142857,1217.67934885,2144.33333333,3,196,36.14044944,402.0625,643.3,195,32.98974359,99.48979592,178,3.68453736,2025-11-30,2025-11-30
Sales,"Web Audience Retarg","Black and white photo - Copy",2025-11-30,not_delivering,ad,4338,5137,1.18418626,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,7486,7486,2025-11-27,2026-01-13,0.45248869,0.48543689,33.87330317,1457.27078061,7486,1,221,37.05940594,935.75,748.6,206,36.33980583,93.21266968,202,4.65652374,2025-11-30,2025-11-30
Sales,"Tokyo + Adjacent Broad","JD Konnichiwa Video",2025-11-30,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-11-26,2025-11-28,0,0,,,,,,,0,0,,,0,,,2025-11-30,2025-11-30
Sales,"Web Audience Retarg","Poster [Redirect link] + related Media",2025-11-30,not_delivering,ad,22,23,1.04545455,"7-day click, 1-day view, or 1-day engaged-view",,,20,,2025-11-27,2026-01-13,0,0,,869.56521739,,,,,,,,,0,,,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","Flexible 3 Groups",2025-11-30,not_delivering,ad,15236,17226,1.13061171,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",12,20649,1720.75,2025-11-29,2026-01-13,1.34983127,1.37772675,23.2272216,1198.71125044,1720.75,12,889,24.84837545,529.46153846,589.97142857,871,23.70723307,97.97525309,831,5.45418745,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad",Poster,2025-11-30,not_delivering,ad,11924,13657,1.14533714,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",12,13142,1095.16666667,2025-11-29,2026-01-13,2.89156627,3.03797468,31.66746988,962.29040053,1095.16666667,12,415,32.77306733,691.68421053,571.39130435,395,33.27088608,95.18072289,401,3.36296545,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","JD Graffiti Paint",2025-11-30,not_delivering,ad,344,352,1.02325581,"7-day click, 1-day view, or 1-day engaged-view",,,508,,2025-11-29,2026-01-13,0,0,31.75,1443.18181818,,,16,31.75,,,14,36.28571429,87.5,16,4.65116279,2025-11-30,2025-11-30
Sales,"Tokyo + Adjacent Broad",Poster,2025-11-29,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,0,0,2025-11-26,2025-11-28,0,0,,,0,2,,,0,0,,,0,,,2025-11-29,2025-11-29
"ABOS Traffic","Johnny Depp Interest Group","JD Konnichiwa Video - Copy",2025-11-29,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,0,2,,,0,0,,,0,,,2025-11-29,2025-11-29
"ABOS Traffic","Johnny Depp Interest Group","JD announcement date post",2025-11-29,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,0,1,,,0,0,,,0,,,2025-11-29,2025-11-29
Sales,"Tokyo + Adjacent Broad","Flexible 3 Groups",2025-11-29,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-11-26,2025-11-28,0,0,,,0,1,,,0,0,,,0,,,2025-11-29,2025-11-29
Sales,"Account Engagers - Broad","JD Konnichiwa Video",2025-11-29,inactive,ad,218,234,1.0733945,"7-day click, 1-day view, or 1-day engaged-view",,,223,,2025-11-29,2026-01-13,0,0,17.15384615,952.99145299,,,13,18.58333333,,,14,15.92857143,107.69230769,12,5.50458716,2025-11-29,2025-11-29
"ABOS Traffic","Johnny Depp Interest Group","JD Desk - Red Curtain - Copy",2025-11-29,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,0,1,,,0,0,,,0,,,2025-11-29,2025-11-29
Sales,"Web Audience Retarg","Poster [Redirect link]",2025-11-29,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-11-27,2026-01-13,0,0,,,,,,,0,,,,0,,,2025-11-29,2025-11-29
Sales,"Tokyo + Adjacent Broad","Poster [Redirect link] + related Media",2025-11-29,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",3,0,0,2025-11-26,2025-11-28,0,0,,,0,3,,,0,0,,,0,,,2025-11-29,2025-11-29
"ABOS Traffic","Johnny Depp Interest Group","Black and white photo",2025-11-29,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,0,3,,,0,0,,,0,,,2025-11-29,2025-11-29
Sales,"Account Engagers - Broad","Poster [Redirect link] + related Media",2025-11-29,inactive,ad,553,626,1.13200723,"7-day click, 1-day view, or 1-day engaged-view",,,652,,2025-11-29,2026-01-13,0,0,16.3,1041.53354633,,,40,19.17647059,,,37,17.62162162,92.5,34,6.1482821,2025-11-29,2025-11-29
Sales,"Tokyo + Adjacent Broad","JD Konnichiwa Video",2025-11-29,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",5,0,0,2025-11-26,2025-11-28,0,0,,,0,5,,,0,0,,,0,,,2025-11-29,2025-11-29
"ABOS Traffic","Johnny Depp Interest Group","JD with Skeleton Confetti",2025-11-29,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,,,,,,0,,,0,,,2025-11-29,2025-11-29
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Konnichiwa Video",2025-11-29,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-27,0,0,,,,,,,0,,,,0,,,2025-11-29,2025-11-29
