クライアントID,興行ID,公演日,開演時間,席種NO,席種名,券種NO,券種名,販売枚数
jd,JD25111430,20251114,1000,4,入場券,6,大人,164
jd,JD25111430,20251114,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1050,4,入場券,6,大人,16
jd,JD25111430,20251114,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1140,4,入場券,6,大人,10
jd,JD25111430,20251114,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1230,4,入場券,6,大人,6
jd,JD25111430,20251114,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1320,4,入場券,6,大人,6
jd,JD25111430,20251114,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1410,4,入場券,6,大人,12
jd,JD25111430,20251114,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1500,4,入場券,6,大人,11
jd,JD25111430,20251114,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1550,4,入場券,6,大人,2
jd,JD25111430,20251114,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1640,4,入場券,6,大人,3
jd,JD25111430,20251114,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1730,4,入場券,6,大人,12
jd,JD25111430,20251114,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1820,4,入場券,6,大人,9
jd,JD25111430,20251114,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,1910,4,入場券,6,大人,7
jd,JD25111430,20251114,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251114,2000,4,入場券,6,大人,4
jd,JD25111430,20251114,2000,4,入場券,7,子ども(3～12歳まで),1
jd,JD25111430,20251115,1000,4,入場券,6,大人,27
jd,JD25111430,20251115,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251115,1050,4,入場券,6,大人,11
jd,JD25111430,20251115,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251115,1140,4,入場券,6,大人,8
jd,JD25111430,20251115,1140,4,入場券,7,子ども(3～12歳まで),1
